plot_name,subplot,direction,vol,plot_id,dpm,sampled,date,dry_mass
P3,S3,S,0.123309537,ABG_3,3,FALSE,09/03/2019,NA
P3,S3,W,0.216318511,ABG_3,3,FALSE,09/03/2019,NA
P3,S4,E,0.1122556,ABG_3,4,FALSE,09/03/2019,NA
P3,S4,N,0.035600262,ABG_3,2,FALSE,09/03/2019,NA
P3,S4,S,0.08860633,ABG_3,2,FALSE,09/03/2019,NA
P3,S4,W,0.243907242,ABG_3,3,FALSE,09/03/2019,NA
P3,S5,E,0.146748882,ABG_3,8,FALSE,09/03/2019,NA
P3,S5,N,0.16789305,ABG_3,4,FALSE,09/03/2019,NA
P3,S5,S,0.099106942,ABG_3,8,FALSE,09/03/2019,NA
P3,S5,W,0.264458835,ABG_3,17,FALSE,09/03/2019,NA
P3,S6,E,0.210604298,ABG_3,9,FALSE,09/03/2019,NA
P3,S6,N,0.275868324,ABG_3,9,TRUE,09/03/2019,28.58
P3,S6,S,0.372363331,ABG_3,8,TRUE,09/03/2019,56.18
P3,S6,W,0.171705088,ABG_3,9,FALSE,09/03/2019,NA
P3,S7,E,0.128846069,ABG_3,7,FALSE,09/03/2019,NA
P3,S7,N,0.100222203,ABG_3,9,FALSE,09/03/2019,NA
P3,S7,S,0.116490033,ABG_3,7,FALSE,09/03/2019,NA
P3,S7,W,0.130253148,ABG_3,4,FALSE,09/03/2019,NA
P3,S8,E,0.210052299,ABG_3,12,FALSE,09/03/2019,NA
P3,S8,N,0.199731877,ABG_3,7,FALSE,09/03/2019,NA
P3,S8,S,0.194775483,ABG_3,4,TRUE,09/03/2019,18.34
P3,S8,W,0.201742892,ABG_3,5,FALSE,09/03/2019,NA
P3,S9,E,0.278012211,ABG_3,6,FALSE,09/03/2019,NA
P3,S9,N,0.572898431,ABG_3,39,FALSE,09/03/2019,NA
P3,S9,S,0.325306482,ABG_3,7,FALSE,09/03/2019,NA
P3,S9,W,0.246602542,ABG_3,5,FALSE,09/03/2019,NA
P4,S1,E,0.169348414,ABG_4,49,FALSE,10/03/2019,NA
P4,S1,N,0.235654792,ABG_4,0,TRUE,10/03/2019,0
P4,S1,S,0.210596341,ABG_4,0,FALSE,10/03/2019,NA
P4,S1,W,0.180906238,ABG_4,9,FALSE,10/03/2019,NA
P4,S2,E,0.055758566,ABG_4,3,FALSE,10/03/2019,NA
P4,S2,N,0.083040823,ABG_4,8,FALSE,10/03/2019,NA
P4,S2,S,0.430480002,ABG_4,1,FALSE,10/03/2019,NA
P4,S2,W,0.042920929,ABG_4,3,FALSE,10/03/2019,NA
P4,S3,E,0.206106293,ABG_4,12,FALSE,10/03/2019,NA
P4,S3,N,0.241708986,ABG_4,3,TRUE,10/03/2019,16.78
P4,S3,S,0.4411563,ABG_4,9,FALSE,10/03/2019,NA
P4,S3,W,0.44702029,ABG_4,5,FALSE,10/03/2019,NA
P4,S4,E,0.293139454,ABG_4,6,FALSE,10/03/2019,NA
P4,S4,N,0.220116491,ABG_4,4,FALSE,10/03/2019,NA
P4,S4,S,0.229356606,ABG_4,8,TRUE,10/03/2019,48.15
P4,S4,W,0.408506065,ABG_4,4,TRUE,10/03/2019,27.94
P4,S5,E,0.056672949,ABG_4,5,FALSE,10/03/2019,NA
P4,S5,N,0.140325015,ABG_4,4,FALSE,10/03/2019,NA
P4,S5,S,0.206857145,ABG_4,3,FALSE,10/03/2019,NA
P4,S5,W,0.426738621,ABG_4,2,FALSE,10/03/2019,NA
P4,S6,E,0.091902827,ABG_4,6,TRUE,10/03/2019,40.86
P4,S6,N,0.118423332,ABG_4,3,FALSE,10/03/2019,NA
P4,S6,S,0.222003617,ABG_4,2,FALSE,10/03/2019,NA
P4,S6,W,0.219181126,ABG_4,4,FALSE,10/03/2019,NA
P4,S7,E,0.080371975,ABG_4,6,FALSE,10/03/2019,NA
P4,S7,N,0.318615023,ABG_4,4,TRUE,10/03/2019,26.38
P4,S7,S,0.466112962,ABG_4,4,FALSE,10/03/2019,NA
P4,S7,W,0.159709094,ABG_4,3,FALSE,10/03/2019,NA
P4,S8,E,0.164333009,ABG_4,5,FALSE,10/03/2019,NA
P4,S8,N,0.119432872,ABG_4,2,FALSE,10/03/2019,NA
P4,S8,S,0.173621081,ABG_4,12,FALSE,10/03/2019,NA
P4,S8,W,0.212799851,ABG_4,4,FALSE,10/03/2019,NA
P4,S9,E,0.306035399,ABG_4,4,FALSE,10/03/2019,NA
P4,S9,N,0.084813554,ABG_4,4,FALSE,10/03/2019,NA
P4,S9,S,0.150502557,ABG_4,7,FALSE,10/03/2019,NA
P4,S9,W,0.106390256,ABG_4,9,FALSE,10/03/2019,NA
P5,S1,E,0.085947909,ABG_5,9,FALSE,15/02/2019,NA
P5,S1,N,0.095190467,ABG_5,3,FALSE,15/02/2019,NA
P5,S1,S,0.067984126,ABG_5,5.1,FALSE,15/02/2019,NA
P5,S1,W,0.596589994,ABG_5,9.1,FALSE,15/02/2019,NA
P5,S2,E,0.089077824,ABG_5,7,FALSE,15/02/2019,NA
P5,S2,N,0.083897655,ABG_5,1,FALSE,15/02/2019,NA
P5,S2,S,0.145961897,ABG_5,3,TRUE,15/02/2019,4.81
P5,S2,W,0.125674658,ABG_5,5,FALSE,15/02/2019,NA
P5,S3,E,0.065438115,ABG_5,5.4,FALSE,15/02/2019,NA
P5,S3,N,0.076448848,ABG_5,2.8,FALSE,15/02/2019,NA
